lat,long,country,city,street,time zone
43.516667,109.116667,China,Naran Bulag,5884 Mifflin Hill,Asia/Harbin
54.8593462,24.4549495,Lithuania,KaiÅ¡iadorys,11 Briar Crest Hill,Europe/Vilnius
44.1666669,104.5,Mongolia,Ãœydzen,225 Redwing Pass,Asia/Ulaanbaatar
38.8066531,-9.3199202,Portugal,Pexiligais,61 Nova Way,Europe/Lisbon
-25.1169056,-49.5076392,Brazil,ItaperuÃ§u,47 Rigney Trail,America/Sao_Paulo
17.8579334,-93.1548091,Mexico,Reforma,399 Cordelia Pass,America/Mexico_City
60.2274447,25.0812732,Finland,Parikkala,975 Bunker Hill Center,Europe/Helsinki
30.456224,106.633088,China,Guangâ€™an,6 Haas Trail,Asia/Chongqing
18.1646497,-73.8110279,Haiti,Torbeck,728 Grim Alley,America/Port-au-Prince
32.240853,120.2326771,China,Huangqiao,5 American Place,Asia/Chongqing
-11.2648012,-75.6491753,Peru,Huasahuasi,9 Sauthoff Circle,America/Lima
-18.8549317,-41.9559233,Brazil,Governador Valadares,74835 Burrows Terrace,America/Sao_Paulo
32.93,-97.44,United States,Fort Worth,5803 Old Shore Plaza,America/Chicago
1.968543,-157.3936469,Kiribati,Banana Village,311 Ridgeview Junction,Pacific/Honolulu
12.261245,121.990929,Philippines,Looc,757 Thompson Terrace,Asia/Manila
12.7878653,-85.1233,Nicaragua,Bocana de Paiwas,0 Ronald Regan Way,America/Managua
59.233082,163.067535,Russia,Ossora,66996 Southridge Pass,Asia/Kamchatka
27.570531,117.652349,China,Huangkeng,083 Autumn Leaf Trail,Asia/Chongqing
-9.6352458,119.4048722,Indonesia,Wailiang,221 Tennessee Trail,Asia/Makassar
7.3111492,-73.2057595,Colombia,Rionegro,1018 Village Center,America/Bogota
36.6493964,139.8816085,Japan,Utsunomiya-shi,68040 Bartillon Parkway,Asia/Tokyo
60.9596322,34.0219218,Russia,Vazhiny,47 Banding Pass,Europe/Moscow
25.242158,117.326355,China,Gongqiao,0350 Barby Plaza,Asia/Shanghai
35.656128,112.117922,China,Yingtou,917 Namekagon Circle,Asia/Chongqing
48.9933962,14.5417888,Czech Republic,Rudolfov,01008 Towne Road,Europe/Prague
0.2415538,-53.7369154,Brazil,Almeirim,0 Carpenter Circle,America/Santarem
38.5,-92.15,United States,Jefferson City,0 Spohn Lane,America/Chicago
22.69569,112.225334,China,Xinxing,89 3rd Park,Asia/Harbin
65.8368628,24.0986491,Sweden,Haparanda,49951 Chinook Place,Europe/Helsinki
45.1761098,20.9132879,Serbia,IlandÅ_a,637 Tennessee Plaza,Europe/Belgrade
35.136722,102.8777,China,Tanggaâ€™an,923 Oak Place,Asia/Chongqing
59.3650479,17.9947004,Sweden,Solna,5730 Esker Road,Europe/Stockholm
14.7980871,-87.3388767,Honduras,Minas de Oro,3791 Sachs Alley,America/Tegucigalpa
12.0806213,-86.0198103,Nicaragua,Tisma,5909 Esker Terrace,America/Managua
31.0252201,121.4337784,China,Jiaotang,8 Packers Street,Asia/Shanghai
40.92194,19.71778,Albania,Karbunara e VogÃ«l,36650 Trailsway Plaza,Europe/Tirane
60.955867,22.6282967,Finland,Loimaan Kunta,8281 Fair Oaks Lane,Europe/Helsinki
39.4364103,-8.2988008,Portugal,Malpique,185 Prairieview Center,Europe/Lisbon
8.4478637,-65.3807101,Venezuela,Santa MarÃ_a de Ipire,56288 Orin Parkway,America/Caracas
34.8218609,134.9545157,Japan,Miki,489 Claremont Circle,Asia/Tokyo
11.9704485,-86.0886366,Nicaragua,Masaya,77906 Dahle Circle,America/Managua
53.5324492,28.187043,Belarus,Blonâ€™,578 Buell Alley,Europe/Minsk
51.1811979,16.4883489,Poland,Malczyce,025 Darwin Terrace,Europe/Warsaw
6.0536421,121.0004951,Philippines,Jolo,2090 Rockefeller Way,Asia/Manila
-6.8187124,106.947666,Indonesia,Kadudampit,9 Lakeland Place,Asia/Jakarta
56.2254132,87.7719548,Russia,Mariinsk,193 Roth Way,Asia/Novokuznetsk
31.4374773,-7.4060306,Morocco,Zerkten,032 Rusk Pass,Africa/Casablanca
36.795091,10.184999,Tunisia,Douane,4919 Birchwood Parkway,Africa/Tunis
-4.3289209,-79.557446,Ecuador,Cariamanga,78834 Ruskin Park,America/Guayaquil
-45.4035437,-72.6864154,Chile,Puerto AisÃ©n,59 Southridge Circle,America/Santiago
49.6246813,19.1833654,Poland,Å»abnica,90634 Kensington Alley,Europe/Warsaw
-7.703889,36.9565089,Tanzania,Kidatu,8 Reinke Hill,Africa/Dar_es_Salaam
7.9180075,-71.0601767,Venezuela,Pedraza La Vieja,33379 Monument Crossing,America/Caracas
14.9795865,120.6149195,Philippines,Guagua,8 Northwestern Parkway,Asia/Manila
27.236635,108.912375,China,Yuping,18059 Tony Junction,Asia/Ho_Chi_Minh
41.0213628,-80.6150117,Poland,Kalej,8 Birchwood Place,Europe/Warsaw
-20.3015699,57.5999968,Mauritius,Dubreuil,5492 Blue Bill Park Hill,Indian/Mauritius
-14.07109,-72.676201,Peru,Curpahuasi,9 Russell Trail,America/Lima
52.6029163,41.4669909,Russia,Kotovsk,60406 Hintze Junction,Europe/Moscow
33.039715,115.263115,China,Linquan,7849 Bluestem Way,Asia/Shanghai
-6.3079232,107.172085,Indonesia,Cikarang,44 Pennsylvania Point,Asia/Jakarta
49.5234905,14.4280868,Czech Republic,ChyÅ¡ky,24 Fordem Plaza,Europe/Prague
-25.790615,28.3323137,South Africa,Tzaneen,14 Mifflin Court,Africa/Johannesburg
-12.1695811,44.40047,Comoros,Moutsamoudou,93179 Kings Junction,Indian/Comoro
39.3960229,68.533658,Tajikistan,AynÃ_,5334 Upham Court,Asia/Tashkent
53.0637214,26.6392615,Belarus,Klyetsk,53 Sommers Place,Europe/Minsk
-18.7679039,46.0515529,Madagascar,Tsiroanomandidy,762 Di Loreto Plaza,Indian/Antananarivo
56.0127743,37.2229806,Russia,Rzhavki,370 Westend Place,Europe/Moscow
-33.1416441,-64.3600342,Argentina,OrdÃ_Ã±ez,43 Bunker Hill Crossing,America/Argentina/Cordoba
6.7368274,2.6636066,Benin,SakÃ©tÃ©,21 Hallows Trail,Africa/Porto-Novo
14.5968528,121.0670507,Philippines,Luna,7021 Glacier Hill Point,Asia/Manila
12.8603014,101.5361726,Thailand,Wang Chan,392 Pepper Wood Drive,Asia/Bangkok
55.1052515,82.9514853,Russia,Rodniki,41671 Thierer Point,Europe/Moscow
39.9754634,44.5273861,Armenia,Dalar,76 Troy Point,Asia/Yerevan
14.8533744,100.9894413,Thailand,Phatthana Nikhom,823 Rieder Center,Asia/Bangkok
-6.8747015,107.9520129,Indonesia,Cigembong,9132 Service Hill,Asia/Jakarta
38.0932151,69.3413913,Tajikistan,Danghara,07152 Eliot Junction,Asia/Dushanbe
-6.9947862,109.6341727,Indonesia,Wonopringgo,47914 Valley Edge Place,Asia/Jakarta
-25.2005643,-56.3978117,Paraguay,CarayaÃ_,7 Russell Street,America/Asuncion
6.5439791,121.869164,Philippines,Maluso,4 Aberg Point,Asia/Manila
35.07437,36.08677,Syria,á¸¨ammÄÅm WÄÅÅŸil,9 Corscot Road,Asia/Damascus
57.2567489,58.7326317,Russia,Shalya,88 Duke Trail,Asia/Yekaterinburg
-32.0974801,-63.0334803,Argentina,La Playosa,310 Stang Way,America/Argentina/Cordoba
44.4353271,34.1121629,Ukraine,Gaspra,02812 Commercial Hill,Europe/Simferopol
-28.2588438,-53.5009992,Brazil,Panambi,7 Mifflin Junction,America/Sao_Paulo
54.5941065,17.8604786,Poland,ÅÅÄ™czyce,0 Crest Line Point,Europe/Warsaw
28.18018,109.654991,China,Sangongqiao,78 Truax Lane,Asia/Chongqing
-9.309531,-35.9420041,Brazil,Murici,12234 Northland Lane,America/Maceio
43.7745094,16.8628891,Bosnia and Herzegovina,Orguz,805 Macpherson Drive,Europe/Zagreb
44.6063199,17.8595342,Bosnia and Herzegovina,TesliÄ‡,1806 Onsgard Terrace,Europe/Sarajevo
36.9473226,108.7379191,China,Renliu,1722 Loomis Way,Asia/Chongqing
40.846108,14.2352339,Italy,Napoli,6955 Spenser Lane,Europe/Rome
51.84861,41.46056,Russia,Zherdevka,50 Hanover Hill,Europe/Moscow
-15.66758,-72.534439,Peru,Viraco,7259 Brentwood Park,America/Lima
43.9760578,17.5275042,Bosnia and Herzegovina,PajiÄ‡ Polje,86 Bellgrove Court,Europe/Sarajevo
-7.2936876,112.2771485,Indonesia,Ardirejo,36 3rd Avenue,Asia/Jakarta
37.738098,127.0336819,South Korea,Uijeongbu-si,1680 Fremont Way,Asia/Seoul
31.7711077,119.9742793,China,Jianshe,99 Mcbride Avenue,Asia/Harbin
38.2,-85.7,United States,Louisville,48510 Portage Crossing,America/Kentucky/Louisville
10.829771,122.615819,Philippines,Jalaud,08247 Northwestern Street,Asia/Manila
-6.22625,106.0253,Indonesia,Cilongkrangpusaka,878 Scofield Junction,Asia/Jakarta
23.775772,98.825866,China,Nansan,1296 Sugar Drive,Asia/Chongqing
36.5072263,8.7756556,Tunisia,Jendouba,750 Moulton Pass,Africa/Tunis
51.11327,18.21114,Poland,Byczyna,6 Mayfield Pass,Europe/Warsaw
35.5588061,138.0410863,Japan,ÅŒkawara,9 Farragut Alley,Asia/Tokyo
-9.3294895,125.2697802,East Timor,Suai,8 Warbler Parkway,Asia/Makassar
43.591386,81.239566,China,Jagistay,02 Beilfuss Junction,Asia/Almaty
17.3798237,104.6821048,Thailand,Nakhon Phanom,60013 Sutherland Terrace,Asia/Bangkok
-3.5670807,-41.0919197,Brazil,ViÃ§osa do CearÃ¡,311 Mccormick Center,America/Fortaleza
51.7888924,23.2083805,Poland,Wisznice,83 Mockingbird Center,Europe/Warsaw
53.806868,-9.1327273,Ireland,Kinnegad,6258 Rowland Street,Europe/Dublin
36.229138,139.8961591,Japan,MitsukaidÅç,9538 Transport Crossing,Asia/Tokyo
18.8478608,-99.1843676,Mexico,Emiliano Zapata,912 Union Street,America/Mexico_City
35.858731,112.389438,China,Taochuan,8448 Fordem Junction,Asia/Chongqing
36.87117,121.509453,China,Rushankou,82 Anzinger Hill,Asia/Shanghai
52.5593051,13.4761485,Germany,Berlin,3484 Fremont Crossing,Europe/Berlin
54.0809529,21.4937201,Poland,GierÅ‚oÅ_,3566 Onsgard Point,Europe/Warsaw
36.4062241,55.016269,Iran,Shahrud,2541 Northview Pass,Asia/Tehran
-1.048106,103.380604,Indonesia,Wongka,61 Ridge Oak Park,Asia/Makassar
-6.8174513,106.3683065,Indonesia,Cipanggung,7248 Petterle Alley,Asia/Jakarta
34.2540503,-6.5890166,Morocco,Kenitra,17 Scoville Park,Africa/Casablanca
29.724589,116.245433,China,Shuangzhong,135 Haas Place,Asia/Shanghai
-7.015,112.4842,Indonesia,Watangan,9944 Ryan Pass,Asia/Jakarta
37.0909826,138.1698009,Japan,JÅçetsu,8027 Lotheville Street,Asia/Tokyo
54.3231922,50.8118074,Russia,Nurlat,13 Chinook Terrace,Europe/Moscow
4.5604389,-74.115187,Colombia,BogotÃ¡,716 Gulseth Trail,America/Bogota
-7.4585953,107.6008169,Indonesia,Bungbulang,2 Monument Parkway,Asia/Jakarta
6.39035,126.14558,Philippines,Surup,7 Laurel Junction,Asia/Manila
50.9704636,15.3858774,Poland,Mirsk,2 Green Court,Europe/Warsaw
14.1975137,121.5570313,Philippines,Luisiana,5075 Anniversary Terrace,Asia/Manila
11.7701438,8.4239055,Nigeria,Kura,372 High Crossing Alley,Africa/Lagos
52.7201592,30.569225,Belarus,Buda-Kashalyova,04393 Jackson Parkway,Europe/Minsk
14.874441,101.1843887,Thailand,Wang Muang,77 Menomonie Junction,Asia/Bangkok
34.064463,114.837888,China,Taikang,3908 Grasskamp Avenue,Asia/Harbin
49.7854424,6.2095603,Luxembourg,Larochette,066 Marquette Avenue,Europe/Luxembourg
43.4945737,5.8978018,France,Paris 20,9690 Boyd Street,Europe/Paris
39.726929,116.341395,China,Daxing,95 Lyons Point,Asia/Shanghai
14.2462858,121.4934758,Philippines,Baylo,3 Packers Avenue,Asia/Manila
-8.2334215,114.3787108,Indonesia,Kertosari,9544 Ridgeview Circle,Asia/Jakarta
-6.9662696,107.4492746,Indonesia,Batugede Kulon,38754 Sunnyside Terrace,Asia/Jakarta
-6.7418731,107.9176312,Indonesia,Tanjungkerta,558 Calypso Crossing,Asia/Jakarta
42.9598744,-81.2353612,Canada,London,19 Lunder Drive,America/Toronto
33.4316535,131.3529666,Japan,Kamiichi,74 Pierstorff Avenue,Asia/Tokyo
22.1623468,105.6002024,Vietnam,Báº±ng LÅ©ng,09635 Anderson Drive,Asia/Ho_Chi_Minh
41.236675,69.3413913,Uzbekistan,Bektemir,802 Transport Way,Asia/Tashkent
42.4681713,-83.1589716,United States,Roanoke,92732 Thierer Center,America/New_York
-9.710143,-35.897056,Brazil,Marechal Deodoro,81500 Transport Way,America/Maceio
54.0278591,44.8841712,Russia,Ruzayevka,43322 Ilene Circle,Europe/Moscow
-32.8803027,-71.2497156,Chile,Quillota,6 Reindahl Road,America/Santiago
8.9494875,9.2480728,Nigeria,Kwolla,219 Warner Circle,Africa/Lagos
-14.4861733,35.253304,Malawi,Mangochi,30986 Kim Pass,Africa/Blantyre
8.955271,126.009711,Philippines,San Miguel,62 Farmco Center,Asia/Manila
30.352893,105.204609,China,Baoshi,31 Kim Junction,Asia/Harbin
-6.1965654,106.8226808,Indonesia,Barapas,9647 Shelley Junction,Asia/Jayapura
-23.6228759,-46.7816647,Brazil,TaboÃ£o da Serra,33369 Riverside Road,America/Sao_Paulo
26.602423,110.994507,China,Qingjiangqiao,5 Sullivan Alley,Asia/Chongqing
31.2570292,121.492796,China,Guocun,2 Mcbride Place,Asia/Chongqing
40.8480415,20.6630784,Albania,Dardhas,71 Summerview Way,Europe/Tirane
-6.6876798,111.4782661,Indonesia,Kajar,542 Stephen Park,Asia/Jakarta
16.7275474,103.7358277,Thailand,Si Somdet,5 Marquette Point,Asia/Bangkok
42.3745311,-88.1263369,United States,Milwaukee,8254 Namekagon Pass,America/Chicago
3.706995,103.1024948,Indonesia,Gambang,780 3rd Parkway,Asia/Jakarta
58.7472646,17.0266546,Sweden,NykÃ¶ping,803 Eastlawn Point,Europe/Stockholm
-7.460987,111.3321974,Indonesia,Ngawi,58717 Artisan Crossing,Asia/Jakarta
49.522946,16.2614713,Czech Republic,BystÅ™ice nad PernÅ¡tejnem,1447 Claremont Trail,Europe/Prague
-7.0743223,-40.37156,Brazil,Campos Sales,62 Delladonna Plaza,America/Fortaleza
16.5409974,121.563879,Philippines,Saguday,0 Londonderry Terrace,Asia/Manila
46.5620633,30.8631957,Ukraine,Fontanka,2 Twin Pines Avenue,Europe/Simferopol
-34.7430691,-58.5704426,Argentina,Contraalmirante Cordero,1 Ruskin Plaza,America/Argentina/Salta
44.6166027,17.9914718,Bosnia and Herzegovina,TeÅ¡anj,1 Anderson Junction,Europe/Sarajevo
-6.8892965,112.3635806,Indonesia,Paciran,59 Melby Drive,Asia/Jakarta
-6.2852298,106.7813363,Indonesia,Cisaro,5 Del Sol Park,Asia/Jakarta
-8.4849,115.1348,Indonesia,Wanasari Baleran,1339 Orin Lane,Asia/Makassar
56.2674828,54.9252541,Russia,Yanaul,09 Twin Pines Street,Asia/Yekaterinburg
4.9026627,97.7878579,Indonesia,Ulee Gle,4696 David Crossing,Asia/Jakarta
-14.0359111,-71.5709117,Peru,Pomacanchi,8740 Cherokee Hill,America/Lima
39.0927696,-9.0571089,Portugal,Bairro,92 Arizona Circle,Europe/Lisbon
8.235581,123.8545713,Philippines,Tudela,6157 Drewry Lane,Asia/Manila
47.1634031,33.9366442,Ukraine,Velyka Lepetykha,5452 Amoth Court,Europe/Zaporozhye
44.1372925,4.810107,France,Orange,0082 Jenna Parkway,Europe/Paris
-6.2863702,106.1051705,Indonesia,Karangtanjung,607 Buhler Road,Asia/Jakarta
22.141482,113.83012,China,Guishan,182 Fordem Junction,Asia/Shanghai
49.0344736,2.0721605,France,Cergy-Pontoise,68925 Scoville Trail,Europe/Paris
-37.0920575,-73.1545822,Chile,Lota,562 Superior Hill,America/Santiago
-10.8996,122.9017,Indonesia,Leteki,0819 4th Terrace,Asia/Makassar
50.6999479,13.8459307,Czech Republic,Krupka,1356 Nelson Park,Europe/Prague
31.861597,35.207914,Palestinian Territory,QalandiyÄÅ,7245 Montana Trail,Asia/Hebron
37.473022,116.603883,China,Weiwangzhuang,5 Havey Drive,Asia/Shanghai
-7.9666204,112.6326321,Indonesia,Maliang,22571 Nelson Crossing,Asia/Makassar
54.17157,103.027249,Russia,Ustâ€™-Uda,619 Duke Pass,Asia/Irkutsk
48.9848042,16.4023975,Czech Republic,Olbramovice,356 Aberg Alley,Europe/Prague
39.109563,117.223371,China,Hexi,43 Mosinee Alley,Asia/Shanghai
44.5652451,17.5341531,Bosnia and Herzegovina,Maslovare,23727 Sullivan Terrace,Europe/Sarajevo
42.6995393,24.0846652,Bulgaria,Chavdar,7 Riverside Court,Europe/Sofia
6.8276228,-5.2893433,Ivory Coast,Yamoussoukro,195 Blackbird Hill,Africa/Abidjan
37.1035665,25.3776734,Greece,Naxos,37127 Thompson Road,Europe/Athens
45.7967858,4.8427596,France,Caluire-et-Cuire,33 Lerdahl Pass,Europe/Paris
-8.401854,114.118103,Indonesia,Tegalsari,3 Oxford Court,Asia/Jakarta
-7.511308,108.6517064,Indonesia,Ciulu,4 Moose Junction,Asia/Jakarta
-8.6268,120.4599,Indonesia,Wasogolo,934 Blackbird Parkway,Asia/Makassar
37.715193,112.47794,China,Jinyuan,560 Harbort Plaza,Asia/Chongqing
46.0313077,29.9343459,Ukraine,Kulevcha,86 Mosinee Street,Europe/Simferopol
42.891255,129.508945,China,Yangji,71 Transport Trail,Asia/Chongqing
53.9024585,17.9194558,Poland,Karsin,0 Troy Park,Europe/Warsaw
35.550111,112.713515,China,Qiqian,0 Starling Drive,Asia/Harbin
-7.3632094,109.9001796,Indonesia,Wonosobo,997 Russell Trail,Asia/Jakarta
-7.9017349,112.5632485,Indonesia,Mojorejo,9 Mesta Trail,Asia/Jakarta
53.7721333,14.7790457,Poland,PrzybiernÃ_w,4285 Nova Hill,Europe/Warsaw
16.9818844,104.4490398,Thailand,Na Kae,8138 Farwell Park,Asia/Bangkok
35.9924294,140.6177909,Japan,Kashima-shi,110 Bultman Hill,Asia/Tokyo
9.0144539,37.4494636,Ethiopia,GÄ“do,707 Debra Hill,Africa/Addis_Ababa
59.3412977,18.0347134,Sweden,Stockholm,49 Cordelia Pass,Europe/Stockholm
40.9089779,-8.421278,Portugal,Moutas,6 Superior Drive,Europe/Lisbon
29.476705,121.869339,China,Xiangshan,28 Fairfield Alley,Asia/Harbin
46.344514,129.543632,China,Yinglan,0 Fairview Point,Asia/Harbin
45.5632781,13.769491,Slovenia,Ankaran,7 Stang Street,Europe/Ljubljana
-7.3742259,108.4454089,Indonesia,Cimaragas,1015 Stoughton Center,Asia/Jakarta
29.606703,106.574271,China,Jiangbei,5295 Garrison Circle,Asia/Shanghai
48.2787299,7.4592542,France,SÃ©lestat,2 Vera Hill,Europe/Paris
8.8926971,126.3014034,Philippines,Cagwait,3 Cottonwood Center,Asia/Manila
-21.597138,165.363472,New Caledonia,Bourail,9 Donald Street,Pacific/Noumea
49.2147869,15.8795516,Czech Republic,TÅ™ebÃ_Äç,649 Division Street,Europe/Prague
44.0803302,15.1873478,Croatia,Preko,01 Saint Paul Pass,Europe/Zagreb
-38.9338082,-69.2497586,Argentina,Cutral-CÃ_,4545 Helena Hill,America/Argentina/Salta
39.562646,113.369956,China,Dalinhe,391 Troy Crossing,Asia/Shanghai
39.5861006,-9.0301824,Portugal,Valado dos Frades,6397 Pennsylvania Road,Europe/Lisbon
35.025857,136.131182,Japan,Shimoda,02383 Spenser Park,Asia/Tokyo
0.2827307,34.7518631,Kenya,Kakamega,30 Dovetail Circle,Africa/Nairobi
32.5571916,-84.9047641,China,Lingmen,1546 Bultman Pass,Asia/Chongqing
18.4931618,95.5066242,Myanmar,Paungde,236 Mifflin Court,Asia/Rangoon
